ARPTDB 1.000000
KDFW 32.897101421 -97.036558800 604 18000 18000
KDGW 42.797726700 -105.386627200 4932 18000 18000
KDHN 31.320658775 -85.448788075 397 18000 18000
KDIJ 43.742703950 -111.096781900 6229 18000 18000
KDIK 46.799285683 -102.802597050 2591 18000 18000
KDKB 41.932867725 -88.706789050 915 18000 18000
KDLF 29.359452433 -100.778196667 1081 18000 18000
KDLH 46.842149550 -92.190679400 1428 18000 18000
KDMA 32.166359700 -110.883169700 2704 18000 18000
KDMN 32.262244950 -107.719746650 4312 18000 18000
KDNA 31.880447700 -106.703247750 4111 18000 18000
KDOV 39.129638925 -75.465658275 27 18000 18000
KDPA 41.908533175 -88.247357737 756 18000 18000
KDPG 40.197386400 -112.935055250 4350 18000 18000
KDRO 37.151517000 -107.753768000 6685 18000 18000
KDSM 41.533965475 -93.663045950 957 18000 18000
KDTO 33.201938800 -97.199337350 643 18000 18000
KDTW 42.212207100 -83.352594258 645 18000 18000
KDUC 34.470873600 -97.959860750 1111 18000 18000
KDVT 33.688608550 -112.082464250 1478 18000 18000
KDWH 30.060788975 -95.552474125 149 18000 18000
KDWX 41.037428000 -107.492543000 6520 18000 18000
KDYS 32.416291167 -99.858401100 1789 18000 18000
KEAR 40.727124750 -99.006200750 2130 18000 18000
KEAT 47.398964550 -120.207276900 1249 18000 18000
KEAU 44.865401100 -91.485063775 913 18000 18000
KECG 36.260476250 -76.175356250 12 18000 18000
KECP 30.358240950 -85.795603500 64 18000 18000
KEDW 34.916472294 -117.872004431 2310 18000 18000
KEFD 29.608051583 -95.158156267 32 18000 18000
KEGE 39.642782400 -106.915934850 6541 18000 18000
KEGI 30.647595550 -86.521337350 188 18000 18000
KEKO 40.826613400 -115.790066450 5140 18000 18000
KEKS 45.274350900 -111.648858050 5421 18000 18000
KELD 33.221382750 -92.811856875 274 18000 18000
KELM 42.160208717 -76.890820250 954 18000 18000
KELP 31.806701117 -106.373385817 3958 18000 18000
KEMM 41.825244817 -110.556709517 7285 18000 18000
KEND 36.339893670 -97.916588360 1307 18000 18000
KENV 40.718700900 -114.029111925 4234 18000 18000
KENW 42.595659117 -87.926376117 743 18000 18000
KEQY 35.017420050 -80.622062300 682 18000 18000
KERI 42.082868250 -80.175440250 729 18000 18000
KEUG 44.124595450 -123.210820300 374 18000 18000
KEVV 38.040051100 -87.529720383 416 18000 18000
KEVW 41.274801100 -111.034629500 7143 18000 18000
KEWK 38.057958500 -97.274655525 1533 18000 18000
KEWR 40.693645633 -74.168630233 18 18000 18000
KFAR 46.919296333 -96.815766167 898 18000 18000
KFAT 36.776557175 -119.719046625 333 18000 18000
KFAY 34.990553550 -78.880248350 187 18000 18000
KFFO 39.825853750 -84.045246500 823 18000 18000
KFHU 31.588978783 -110.343002050 4719 18000 18000
KFLG 35.140317750 -111.669248450 7011 18000 18000
KFLL 26.071343175 -80.149498575 1 18000 18000
KFMH 41.659101350 -70.522667100 128 18000 18000
KFMN 36.741248750 -108.229962950 5502 18000 18000
KFNL 40.452581825 -105.009947075 5016 18000 18000
KFNT 42.965620800 -83.744806275 782 18000 18000
KFOE 38.950229000 -95.663985725 1078 18000 18000
KFOK 40.843216833 -72.632787833 65 18000 18000
KFRG 40.728829250 -73.413509700 80 18000 18000
KFSD 43.580971667 -96.741797167 1429 18000 18000
KFSM 35.336977500 -94.367224750 469 18000 18000
KFST 30.915229240 -102.912172820 3011 18000 18000
KCFO 39.784199975 -104.537622250 5512 18000 18000
KFTW 32.819680750 -97.363182650 708 18000 18000
KFWA 40.978709000 -85.194145667 812 18000 18000
KGAD 33.973114800 -86.088625600 567 18000 18000
KGBD 38.343307000 -98.859838250 1887 18000 18000
KGCC 44.349196975 -105.539087800 4365 18000 18000
KGCK 37.927272500 -100.724628000 2891 18000 18000
KGCN 35.952353850 -112.146984650 6607 18000 18000
KGEG 47.618757475 -117.535408350 2383 18000 18000
KGEU 33.526911650 -112.295127500 1069 18000 18000
KGEY 44.517028100 -108.084621675 3933 18000 18000
KGFK 47.946380113 -97.171708913 845 18000 18000
KGGG 32.384325500 -94.712459750 365 18000 18000
KGJT 39.120477975 -108.525609300 4860 18000 18000
KGLH 33.485204750 -90.984654250 129 18000 18000
KGLR 45.012621850 -84.703216375 1328 18000 18000
KGNF 33.831942825 -89.797832250 208 18000 18000
KGNT 35.169291700 -107.903348650 6537 18000 18000
KGNV 29.690719250 -82.272859000 149 18000 18000
KGPI 48.311714125 -114.255152150 2977 18000 18000
KGPT 30.407682975 -89.069260225 24 18000 18000
KGRB 44.484820250 -88.129465075 687 18000 18000
KGRI 40.969748125 -98.309087650 1847 18000 18000
KGRK 31.067239000 -97.828928000 1015 18000 18000
KGRR 42.882198983 -85.523864483 791 18000 18000
KGSB 35.339380500 -77.960589000 108 18000 18000
KGSO 36.100569617 -79.941809550 921 18000 18000
KGSP 34.895680400 -82.218846600 959 18000 18000
KGTB 44.057350750 -75.717546390 687 18000 18000
KGTF 47.483354875 -111.370819550 3674 18000 18000
KGTR 33.448313000 -88.591401950 264 18000 18000
KGUC 38.532423175 -106.934358425 7678 18000 18000
KGUP 35.511058650 -108.789306200 6472 18000 18000
KGUS 40.648083450 -86.152108100 812 18000 18000
KGVT 33.068988925 -96.063101250 535 18000 18000
KGBN 32.887888650 -112.719618400 855 18000 0
KGXY 40.435565750 -104.633798750 4694 18000 18000
KGYH 34.758322700 -82.376410600 955 18000 18000
KGYI 33.714366200 -96.675185850 749 18000 18000
KGYR 33.423273350 -112.375347100 969 18000 18000
KGYY 41.617137450 -87.414982600 586 18000 18000
KHDN 40.481190300 -107.217673100 6602 18000 18000
KHGR 39.708488175 -77.726732450 704 18000 18000
KHIB 47.387254500 -92.839765625 1354 18000 18000
KHIF 41.123932950 -111.973064950 4789 18000 18000
KHII 34.571127150 -114.358289650 779 18000 18000
KHIO 45.542095633 -122.950488683 204 18000 18000
KHLN 46.606926487 -111.984674262 3875 18000 18000
KHMN 32.852118233 -106.109135217 4090 18000 18000
KHOB 32.687738500 -103.217540750 3661 18000 18000
KHON 44.384952350 -98.228096550 1289 18000 18000
KHOP 36.672430750 -87.493131825 573 18000 18000
KHOT 34.477955425 -93.095901475 540 18000 18000
KHOU 29.645532175 -95.279111000 42 18000 18000
KHRL 26.226927167 -97.654577833 36 18000 18000
KHRT 30.428954000 -86.688833300 38 18000 18000
KHSA 30.367805300 -89.454567250 20 18000 18000
KHST 25.488551000 -80.383564450 4 18000 18000
KHSV 34.637417250 -86.774093250 627 18000 18000
KHTS 38.368531200 -82.560357350 828 18000 18000
KHUA 34.678647200 -86.684763150 685 18000 18000
KHUF 39.450831250 -87.306414750 586 18000 18000
KHUT 38.065935217 -97.860057433 1541 18000 18000
KIAB 37.623114900 -97.267628650 1371 18000 18000
KIAD 38.947743762 -77.460909137 312 18000 18000
KIAG 43.106733833 -78.944377783 586 18000 18000
KIAH 29.985442690 -95.341188330 97 18000 18000
KICT 37.650181833 -97.432173167 1333 18000 18000
KIDA 43.514641200 -112.068307450 4744 18000 18000
KIDL 33.484106833 -90.678851333 125 18000 18000
KIFP 35.154622150 -114.559335750 701 18000 18000
KIGM 35.259493575 -113.938062275 3449 18000 18000
KILG 39.678386250 -75.607050067 79 18000 18000
KILM 34.271195375 -77.902906250 32 18000 18000
KILN 39.427648100 -83.791590800 1077 18000 18000
KIND 39.718191650 -86.292819633 793 18000 18000
KINL 48.565772900 -93.401689900 1185 18000 18000
KINS 36.587359625 -115.676654700 3133 18000 18000
KINT 36.134529250 -80.222753000 969 18000 18000
KINW 35.021977950 -110.722395350 4937 18000 18000
KIPT 41.241982725 -76.921286300 526 18000 18000
KISN 48.177456500 -103.641901000 1980 18000 18000
KISO 35.331432000 -77.608829500 91 18000 18000
KISP 40.796193333 -73.099514833 99 18000 18000
KITH 42.491383675 -76.458447750 1099 18000 18000
KIWA 33.307837300 -111.655291267 1378 18000 18000
KIXD 38.831225000 -94.890024250 1085 18000 18000
KIYK 35.659535667 -117.829365017 2457 18000 18000
KJAN 32.311177675 -90.075893050 346 18000 18000
KJAX 30.493043025 -81.688274300 28 18000 18000
KJFK 40.640130437 -73.776515700 13 18000 18000
KJKA 30.289316500 -87.672981750 17 18000 18000
KJSD 39.298013050 -75.630487400 687 18000 18000
KJST 40.315482800 -78.834590175 2284 18000 18000
KJTC 34.129057425 -109.310757425 7049 18000 18000
KJVL 42.620285667 -89.040994000 808 18000 18000
KLAF 40.412229950 -86.936240575 604 18000 18000
KLAL 27.985790933 -82.019087383 141 18000 18000
KLAN 42.779086533 -84.585733633 857 18000 18000
KLAR 41.312263750 -105.674748000 7283 18000 18000
KLAS 36.080989425 -115.153306087 2181 18000 18000
KLAW 34.566757000 -98.416386000 1107 18000 18000
KLAX 33.943124137 -118.408828488 125 18000 18000
KLBB 33.661566833 -101.818601000 3282 18000 18000
KLBE 40.273121150 -79.410346700 1198 18000 18000
KLBF 41.126375050 -100.685740000 2776 18000 18000
KLBL 37.043865600 -100.960716100 2880 18000 18000
KLBX 29.108636100 -95.462088300 20 18000 18000
KLCK 39.813795300 -82.927821800 744 18000 18000
KLCQ 30.181711250 -82.576541500 201 18000 18000
KLEX 38.037439025 -84.609208250 979 18000 18000
KLFI 37.082894350 -76.360522350 11 18000 18000
KLFT 30.205211183 -91.988171583 41 18000 18000
KLGA 40.777235950 -73.872609950 20 18000 18000
KLGB 33.817725050 -118.152712983 60 18000 18000
KLGU 41.789221033 -111.855147917 4457 18000 18000
KLHX 38.050201325 -103.509589225 4236 18000 18000
KLIT 34.729589183 -92.225884583 262 18000 18000
KLMT 42.156163450 -121.733138525 4095 18000 18000
KLNK 40.852083000 -96.757770817 1219 18000 18000
KLNS 40.121953500 -76.294980500 401 18000 18000
KLRD 27.544052583 -99.461582283 504 18000 18000
KLRF 34.918425575 -92.143124250 311 18000 18000
KLRU 32.289132767 -106.921994167 4456 18000 18000
KLSE 43.878820000 -91.256234083 649 18000 18000
KLSF 32.331782000 -84.987156650 230 18000 18000
KLSV 36.236184325 -115.034232025 1870 18000 18000
KLTS 34.670602067 -99.266297017 1378 18000 18000
KLUF 33.534975000 -112.383177000 1083 18000 18000
KLVS 35.654151700 -105.142439750 6876 18000 18000
KLWB 37.858307000 -80.399482000 2299 18000 18000
KLYH 37.326519500 -79.200660300 937 18000 18000
KMAF 31.941334250 -102.200794000 2871 18000 18000
KMBS 43.532725000 -84.079791750 666 18000 18000
KMCC 38.667627950 -121.400614550 76 18000 18000
KMCF 27.849339000 -82.521213500 14 18000 18000
KMCI 39.297154567 -94.713402683 1022 18000 18000
KMDT 40.193190500 -76.762619500 310 18000 18000
KMEI 32.333624175 -88.750497075 295 18000 18000
KMEM 35.042666250 -89.976625250 335 18000 18000
KMER 37.380480500 -120.568188500 188 18000 18000
KMEV 38.999591333 -119.750030700 4726 18000 18000
KMFD 40.820987500 -82.516534575 1294 18000 18000
KMFE 26.176204150 -98.237867400 104 18000 18000
KMFR 42.374981800 -122.873274300 1333 18000 18000
KMGE 33.915275000 -84.516349900 1066 18000 18000
KMGM 32.300359750 -86.393041750 221 18000 18000
KMHE 43.774854625 -98.038202500 1304 18000 18000
KMHK 39.141697775 -96.671705175 1057 18000 18000
KMHR 38.555922500 -121.297030500 98 18000 18000
KMHT 42.933088325 -71.436062975 241 18000 18000
KMHV 35.059976967 -118.152702350 2791 18000 18000
KMIA 25.796167150 -80.289746163 0 18000 18000
KMIB 48.415761000 -101.358036000 1666 18000 18000
KMKC 39.122778200 -94.592844525 756 18000 18000
KMKE 42.947946890 -87.896474050 723 18000 18000
KMKO 35.659585700 -95.362407383 610 18000 18000
KMKT 44.222038150 -93.919302600 1020 18000 18000
KMLB 28.102289750 -80.643393517 40 18000 18000
KMLI 41.448000283 -90.507506650 585 18000 18000
KMLU 32.511198800 -92.036731450 79 18000 18000
KMMH 37.624048500 -118.838737500 7125 18000 18000
KMML 44.451539500 -95.823186250 1180 18000 18000
KMMT 33.924142000 -80.800007483 251 18000 18000
KMOB 30.690767250 -88.241296250 219 18000 18000
KMOT 48.257685175 -101.278008750 1714 18000 18000
KMQY 36.008865500 -86.520162350 541 18000 18000
KMRB 39.402356500 -77.982995000 557 18000 18000
KMRY 36.586879950 -121.841834075 252 18000 18000
KMSL 34.745341250 -87.611372000 548 18000 18000
KMSN 43.140272833 -89.336940450 887 18000 18000
KMSO 46.916248325 -114.089774175 3206 18000 18000
KMSP 44.881907800 -93.221987975 839 18000 18000
KMSY 29.993348750 -90.257406100 2 18000 18000
KMTC 42.612515500 -82.836960600 579 18000 18000
KMTJ 38.508756375 -107.894477200 5756 18000 18000
KMTN 39.325658000 -76.413768000 20 18000 18000
KMUO 43.043597500 -115.872432000 2996 18000 18000
KMWA 37.753880100 -89.010609600 472 18000 18000
